tune_file,visible_rhythm_labels_after_cleanup,label_policy,split_change_policy,status
bright-sunny-south.tg,19,chord symbols only,labels retained at native beat offsets,pass
cant-you-hear-me-calling-BH5432-Review.tg,15,chord symbols only,labels retained at native beat offsets,pass
cant-you-hear-me-calling.tg,15,chord symbols only,labels retained at native beat offsets,pass
dear-old-dixie-BH5432-Review.tg,32,chord symbols only,labels retained at native beat offsets,pass
dear-old-dixie.tg,32,chord symbols only,labels retained at native beat offsets,pass
dig-a-hole-in-the-meadow-BH5432-Review.tg,9,chord symbols only,labels retained at native beat offsets,pass
dig-a-hole-in-the-meadow.tg,10,chord symbols only,labels retained at native beat offsets,pass
farewell-blues.tg,56,chord symbols only,labels retained at native beat offsets,pass
i-feel-the-blues-movin-in-BH5432-Review.tg,26,chord symbols only,labels retained at native beat offsets,pass
i-feel-the-blues-movin-in.tg,21,chord symbols only,labels retained at native beat offsets,pass
perfume-powder-and-lead-BH5432-Review.tg,26,chord symbols only,labels retained at native beat offsets,pass
perfume-powder-and-lead.tg,12,chord symbols only,labels retained at native beat offsets,pass
rank-strangers-BH5432-Review.tg,61,chord symbols only,labels retained at native beat offsets,pass
rank-strangers.tg,57,chord symbols only,labels retained at native beat offsets,pass
sarafina-BH5432-Review.tg,45,chord symbols only,labels retained at native beat offsets,pass
sarafina.tg,35,chord symbols only,labels retained at native beat offsets,pass
sitting-on-top-of-the-world.tg,8,chord symbols only,labels retained at native beat offsets,pass
somehow-tonight-BH5432-Review.tg,22,chord symbols only,labels retained at native beat offsets,pass
somehow-tonight.tg,16,chord symbols only,labels retained at native beat offsets,pass
southern-flavor.tg,24,chord symbols only,labels retained at native beat offsets,pass
trail-of-tears.tg,30,chord symbols only,labels retained at native beat offsets,pass
walls-of-time-BH5432-Review.tg,20,chord symbols only,labels retained at native beat offsets,pass
walls-of-time.tg,16,chord symbols only,labels retained at native beat offsets,pass
