track_id,track_name,measure_count,sounding_event_count,note_count,chord_event_count,root_bass_note_count,duration_histogram,onset_histogram,rests,measures_repeated_attacks,measures_one_sustained_chord,split_measure_activity,syncopated_events,tie_count,unique_voicing_count,maximum_silent_span,percent_measures_active,sha256,file,modified_time,selection
1,Rhythm / Backing Chords,24,150,528,0,77,"{""4.0"": 124, ""8.0"": 26}","{""0"": 23, ""12"": 4, ""16"": 18, ""20"": 20, ""24"": 22, ""28"": 22, ""4"": 18, ""8"": 23}",16,24,0,24,64,1,14,not-derived,100.0,6aaed6a64b89f9daf349f3339a02d41038f84f25a9006d7d5527356ec93435e3,reviews\setlist\bright_sunny_south\canonical\bright-sunny-south.tg,2026-08-01T06:32:28.428192,candidate
1,Rhythm / Backing Chords,24,150,528,0,77,"{""4.0"": 124, ""8.0"": 26}","{""0"": 23, ""12"": 4, ""16"": 18, ""20"": 20, ""24"": 22, ""28"": 22, ""4"": 18, ""8"": 23}",16,24,0,24,64,1,14,not-derived,100.0,9bd7251de2bf1ac82e777e0037feda18eb50c445bf627bc6f2502bdf9be94b7e,reviews\setlist\bright_sunny_south\phrase_review\bright-sunny-south-Phrase-Review.tg,2026-08-01T06:44:12.926372,candidate
1,Rhythm / Backing Chords,16,105,379,0,63,"{""4.0"": 90, ""8.0"": 15}","{""0"": 15, ""16"": 15, ""20"": 15, ""24"": 15, ""28"": 15, ""4"": 15, ""8"": 15}",1,15,0,15,45,0,10,not-derived,93.75,8b30028c1d9847790de70f9f8dbbe1b85824bab5310ca6b6dd739ef9ddbc66a7,reviews\setlist\cant_you_hear_me_calling\bh_5432_review\cant-you-hear-me-calling-BH5432-Review.tg,2026-08-01T06:32:30.004503,candidate
1,Rhythm / Backing Chords,16,15,74,0,14,"{""32.0"": 15}","{""8"": 15}",0,0,15,0,0,0,3,not-derived,93.75,d2540fccad715a34e08ec3845124085a8d91b332c99fb2bfd53b6ef93d4074d1,reviews\setlist\cant_you_hear_me_calling\canonical\cant-you-hear-me-calling.tg,2026-08-01T06:32:30.526182,candidate
1,Rhythm / Backing Chords,16,15,74,0,14,"{""32.0"": 15}","{""8"": 15}",0,0,15,0,0,0,3,not-derived,93.75,5a5626c473e70c09ca3026377c6e73e678bfa437d56f6c268480b05ca067fc37,reviews\setlist\cant_you_hear_me_calling\phrase_review\cant-you-hear-me-calling-Phrase-Review.tg,2026-08-01T06:44:12.838461,candidate
1,Rhythm / Backing Chords,33,183,592,0,87,"{""2.0"": 123, ""4.0"": 60}","{""0"": 16, ""12"": 15, ""14"": 15, ""16"": 15, ""20"": 15, ""22"": 15, ""24"": 15, ""28"": 15, ""30"": 15, ""4"": 16, ""6"": 15, ""8"": 16}",41,16,0,16,121,0,28,not-derived,48.48,d931df4756ac30ec2592808a04ebacd985ce72a8f8947b4d80b030cf0eeda451,reviews\setlist\dear_old_dixie\bh_5432_review\dear-old-dixie-BH5432-Review.tg,2026-08-01T06:32:32.145041,candidate
1,Rhythm / Backing Chords,33,32,157,0,29,"{""32.0"": 32}","{""8"": 32}",0,0,32,0,0,0,7,not-derived,96.97,34547fc1d19e86d7f4a262edda9cd0f58e9f73bbf578196064e57b08e060941e,reviews\setlist\dear_old_dixie\canonical\dear-old-dixie.tg,2026-08-01T06:32:32.658755,candidate
1,Rhythm / Backing Chords,33,32,157,0,29,"{""32.0"": 32}","{""8"": 32}",0,0,32,0,0,0,7,not-derived,96.97,d6e036e65673b790f6209dc3630bda0b9c36dd61b5f937e41e8dda367fceb1c4,reviews\setlist\dear_old_dixie\phrase_review\dear-old-dixie-Phrase-Review.tg,2026-08-01T06:44:12.813752,candidate
1,Rhythm / Backing Chords,10,124,472,0,56,"{""2.0"": 106, ""4.0"": 18}","{""0"": 9, ""12"": 9, ""14"": 9, ""16"": 9, ""18"": 9, ""2"": 9, ""20"": 8, ""22"": 9, ""24"": 9, ""28"": 9, ""30"": 9, ""4"": 8, ""6"": 9, ""8"": 9}",3,9,0,9,88,0,6,not-derived,90.0,20dcfb5b4fd4053199a714ea05fa11eb29e99aa099e97cdaa65f80acc6da669e,reviews\setlist\dig_a_hole_in_the_meadow\bh_5432_review\dig-a-hole-in-the-meadow-BH5432-Review.tg,2026-08-01T06:32:34.271435,candidate
1,Rhythm / Backing Chords,10,10,50,0,10,"{""16.0"": 2, ""32.0"": 8}","{""24"": 1, ""8"": 9}",0,1,8,1,0,0,2,not-derived,90.0,299878b15def6ea5a28f0be205d21e042d4337b7741fef30cfa7d29cbecc1740,reviews\setlist\dig_a_hole_in_the_meadow\canonical\dig-a-hole-in-the-meadow.tg,2026-08-01T06:32:34.780729,candidate
1,Rhythm / Backing Chords,10,10,50,0,10,"{""16.0"": 2, ""32.0"": 8}","{""24"": 1, ""8"": 9}",0,1,8,1,0,0,2,not-derived,90.0,6ab058a4b9629462e9863698b70020ed7e243f8f89a04c80fa53c76666f27c93,reviews\setlist\dig_a_hole_in_the_meadow\phrase_review\dig-a-hole-in-the-meadow-Phrase-Review.tg,2026-08-01T06:44:12.725127,candidate
1,Rhythm / Backing Chords,25,316,1259,0,194,"{""2.0"": 250, ""4.0"": 66}","{""0"": 24, ""12"": 24, ""14"": 24, ""16"": 24, ""18"": 14, ""2"": 16, ""20"": 24, ""22"": 24, ""24"": 24, ""28"": 24, ""30"": 24, ""4"": 22, ""6"": 24, ""8"": 24}",3,24,0,24,220,0,17,not-derived,96.0,402794cf62b15b946a233249441e6ac2b4e14c0d3436d2010f436db9023a5fa9,reviews\setlist\farewell_blues\canonical\farewell-blues.tg,2026-08-01T06:32:36.389420,candidate
1,Rhythm / Backing Chords,25,316,1259,0,194,"{""2.0"": 250, ""4.0"": 66}","{""0"": 24, ""12"": 24, ""14"": 24, ""16"": 24, ""18"": 14, ""2"": 16, ""20"": 24, ""22"": 24, ""24"": 24, ""28"": 24, ""30"": 24, ""4"": 22, ""6"": 24, ""8"": 24}",3,24,0,24,220,0,17,not-derived,96.0,f1595dd7afc693860735d95d19002c8ea2cd6e4ce4419bf54a285e43d5adc3f1,reviews\setlist\farewell_blues\phrase_review\farewell-blues-Phrase-Review.tg,2026-08-01T06:44:12.871019,candidate
1,Rhythm / Backing Chords,20,214,786,0,110,"{""2.0"": 141, ""4.0"": 73}","{""0"": 18, ""12"": 17, ""14"": 17, ""16"": 18, ""20"": 18, ""22"": 17, ""24"": 18, ""28"": 18, ""30"": 18, ""4"": 18, ""6"": 18, ""8"": 19}",10,18,0,18,141,0,16,not-derived,95.0,36b3d837697252665de026aa26845ad183ea6a1a7aeea79a766ef7ebf8b1af85,reviews\setlist\i_feel_the_blues_movin_in\bh_5432_review\i-feel-the-blues-movin-in-BH5432-Review.tg,2026-08-01T06:32:37.154578,candidate
1,Rhythm / Backing Chords,20,21,103,0,19,"{""16.0"": 4, ""32.0"": 17}","{""24"": 2, ""8"": 19}",0,2,17,2,0,0,3,not-derived,95.0,d9de0654ef23a3246b66d9a2b7d6522ed7d018faef6411e848c8e74c2be143e6,reviews\setlist\i_feel_the_blues_movin_in\canonical\i-feel-the-blues-movin-in.tg,2026-08-01T06:32:38.697805,candidate
1,Rhythm / Backing Chords,20,21,103,0,19,"{""16.0"": 4, ""32.0"": 17}","{""24"": 2, ""8"": 19}",0,2,17,2,0,0,3,not-derived,95.0,ed50156bbabf1c2cb7484555d0b3a8cd67d0bfab90fe9c32b1998a8086d78e27,reviews\setlist\i_feel_the_blues_movin_in\phrase_review\i-feel-the-blues-movin-in-Phrase-Review.tg,2026-08-01T06:44:12.706203,candidate
