tune_file,original_measure_count,last_global_sounding_or_structural_measure,deleted_trailing_measures,final_measure_count
bright-sunny-south.tg,24,24,0,24
cant-you-hear-me-calling-BH5432-Review.tg,16,16,0,16
cant-you-hear-me-calling.tg,16,16,0,16
dear-old-dixie-BH5432-Review.tg,33,33,0,33
dear-old-dixie.tg,33,33,0,33
dig-a-hole-in-the-meadow-BH5432-Review.tg,10,10,0,10
dig-a-hole-in-the-meadow.tg,10,10,0,10
farewell-blues.tg,25,25,0,25
i-feel-the-blues-movin-in-BH5432-Review.tg,20,20,0,20
i-feel-the-blues-movin-in.tg,20,20,0,20
perfume-powder-and-lead-BH5432-Review.tg,32,32,0,32
perfume-powder-and-lead.tg,11,11,0,11
rank-strangers-BH5432-Review.tg,81,81,0,81
rank-strangers.tg,58,58,0,58
sarafina-BH5432-Review.tg,44,44,0,44
sarafina.tg,33,33,0,33
sitting-on-top-of-the-world.tg,9,9,0,9
somehow-tonight-BH5432-Review.tg,19,19,0,19
somehow-tonight.tg,17,17,0,17
southern-flavor.tg,25,25,0,25
trail-of-tears.tg,27,27,0,27
walls-of-time-BH5432-Review.tg,17,17,0,17
walls-of-time.tg,17,17,0,17
