slug,event_index,measure_number,beat,duration,written_pitch,sounding_midi,string_number,fret
bh-5432-five-c-source,1,1,1.0,0.25,B3,59,4,9
bh-5432-five-c-source,2,1,1.25,0.25,C4,60,4,10
bh-5432-five-c-source,3,1,1.5,0.25,E4,64,3,9
bh-5432-five-c-source,4,1,1.75,0.25,G4,67,3,12
bh-5432-five-c-source,5,1,2.0,0.25,B4,71,2,12
bh-5432-five-c-source,6,1,2.25,0.25,A#4,70,2,11
bh-5432-five-c-source,7,1,2.5,0.25,A4,69,2,10
bh-5432-five-c-source,8,1,2.75,0.25,G#4,68,2,9
bh-5432-five-c-source,9,1,3.0,0.25,G4,67,3,12
bh-5432-five-c-source,10,1,3.25,0.25,B3,59,4,9
bh-5432-five-c-source,11,1,3.5,0.25,C4,60,4,10
bh-5432-five-c-source,12,1,3.75,0.25,F4,65,3,10
bh-5432-five-c-source,13,1,4.0,0.25,E4,64,3,9
bh-5432-four-c-source,1,2,1.0,0.25,C4,60,4,10
bh-5432-four-c-source,2,2,1.25,0.25,D4,62,3,7
bh-5432-four-c-source,3,2,1.5,0.25,E4,64,3,9
bh-5432-four-c-source,4,2,1.75,0.25,F4,65,3,10
bh-5432-four-c-source,5,2,2.0,0.25,G4,67,2,8
bh-5432-four-c-source,6,2,2.25,0.25,F4,65,3,10
bh-5432-four-c-source,7,2,2.5,0.25,D4,62,3,7
bh-5432-four-c-source,8,2,2.75,0.25,D#4,63,3,8
bh-5432-four-c-source,9,2,3.0,0.25,E4,64,3,9
bh-5432-three-c-source,1,3,1.0,0.25,G4,67,2,8
bh-5432-three-c-source,2,3,1.25,0.25,C4,60,4,10
bh-5432-three-c-source,3,3,1.5,0.25,D4,62,3,7
bh-5432-three-c-source,4,3,1.75,0.25,F4,65,3,10
bh-5432-three-c-source,5,3,2.0,0.25,D4,62,3,7
bh-5432-three-c-source,6,3,2.25,0.25,D#4,63,3,8
bh-5432-three-c-source,7,3,2.5,0.25,E4,64,3,9
