table_name,row_count
content_items,4
content_relationships,2
content_teachable_moments,4
exercises,0
import_file_log,8
learner_needs,6
lenses,14
play_this_candidate_details,3
play_this_layers,1
play_this_scripts,1
review_candidates,4
schema_migrations,3
source_claims,4
source_extraction_candidates,0
source_file_hashes,136
source_files,136
source_inventory_events,272
source_inventory_runs,2
source_package_files,58
source_packages,21
source_parse_attempts,0
source_roots,2
sources,6
structural_units,0
system_occurrences,0
systems,2
teachable_moment_lenses,13
teachable_moments,5
tunes,2
visual_assets,0
