file,track_role,measure,chord_symbol,allowed_pitch_classes,actual_pitch_classes,illegal_pitch_classes,status
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,3,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,4,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,5,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,6,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,7,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,8,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,9,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,10,Am7,C E G A,E A,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,3,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,4,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,5,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,6,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,7,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,8,F,C F A,C F,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,9,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10a_happy_birthday_a.tg,bass,10,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,3,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,4,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,5,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,6,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,7,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,8,F,C F A,C F,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,9,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10b_happy_birthday_b.tg,bass,10,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,3,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,4,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,5,G7,D F G B,D G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,6,C,C E G,C G,,PASS
output\etude_corpus\form_navigation\e10c_happy_birthday_c.tg,bass,7,C,C E G,C G,,PASS
