file,track_role,measure,chord_symbol,allowed_pitch_classes,actual_pitch_classes,illegal_pitch_classes,status
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,1,C,C E G,C E G,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,2,C,C E G,C E G,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,3,Am7,C E G A,C E G A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,4,Am7,C E G A,C E G A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,5,Am7,C E G A,C E G A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,6,Am7,C E G A,C E G A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,7,Am7,C E G A,C E G A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,8,Am7,C E G A,C E G A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,9,Am7,C E G A,C E G A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,rhythm,10,Am7,C E G A,C E G A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,1,C,C E G,C G,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,2,C,C E G,C G,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,3,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,4,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,5,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,6,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,7,Am7,C E G A,E A,,PASS
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,bass,8,Am7,C E G A,E A,,PASS
