file,measure,chord_symbol,illegal_pitch,midi_pitch,string,fret
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,1,C,B,59,2,0
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,1,C,B,59,2,0
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,2,C,B,59,2,0
output\etude_corpus\arpeggios\bm7_to_cmaj7_dorian.tg,2,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,1,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,1,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,2,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,2,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,3,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,3,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,6,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,6,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,7,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,7,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,8,F,E,52,4,2
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,8,F,E,52,4,2
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,10,C,B,59,2,0
output\etude_corpus\form_navigation\happy_birthday_outline_to_etude.tg,10,C,B,59,2,0
output\etude_corpus\intervallic\d_dorian_diatonic_fourths.tg,1,C,B,59,2,0
output\etude_corpus\intervallic\d_dorian_diatonic_fourths.tg,1,C,B,59,2,0
output\etude_corpus\intervallic\d_dorian_diatonic_fourths.tg,2,C,B,59,2,0
output\etude_corpus\intervallic\d_dorian_diatonic_fourths.tg,2,C,B,59,2,0
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,1,C,B,59,2,0
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,1,C,B,59,2,0
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,2,C,B,59,2,0
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,2,C,B,59,2,0
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,5,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,5,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,5,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,5,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,6,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,6,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,6,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,6,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,9,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,9,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,9,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,9,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,10,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,10,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,10,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\intervallic\jim_hall_fourths_through_251.tg,10,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\minor_harmony\g_dorian_arrival_color.tg,1,C,B,59,2,0
output\etude_corpus\minor_harmony\g_dorian_arrival_color.tg,1,C,B,59,2,0
output\etude_corpus\minor_harmony\g_dorian_arrival_color.tg,2,C,B,59,2,0
output\etude_corpus\minor_harmony\g_dorian_arrival_color.tg,2,C,B,59,2,0
output\etude_corpus\minor_harmony\one_minor_across_minor_251.tg,1,C,B,59,2,0
output\etude_corpus\minor_harmony\one_minor_across_minor_251.tg,1,C,B,59,2,0
output\etude_corpus\minor_harmony\one_minor_across_minor_251.tg,2,C,B,59,2,0
output\etude_corpus\minor_harmony\one_minor_across_minor_251.tg,2,C,B,59,2,0
output\etude_corpus\modal\a_dorian_four_dominant.tg,1,C,B,59,2,0
output\etude_corpus\modal\a_dorian_four_dominant.tg,1,C,B,59,2,0
output\etude_corpus\modal\a_dorian_four_dominant.tg,2,C,B,59,2,0
output\etude_corpus\modal\a_dorian_four_dominant.tg,2,C,B,59,2,0
output\etude_corpus\modal\a_melodic_minor_contrast.tg,1,C,B,59,2,0
output\etude_corpus\modal\a_melodic_minor_contrast.tg,1,C,B,59,2,0
output\etude_corpus\modal\a_melodic_minor_contrast.tg,2,C,B,59,2,0
output\etude_corpus\modal\a_melodic_minor_contrast.tg,2,C,B,59,2,0
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,1,C,B,59,2,0
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,1,C,B,59,2,0
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,2,C,B,59,2,0
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,2,C,B,59,2,0
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,5,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,5,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,5,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,5,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,6,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,6,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,6,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,6,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,9,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,9,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,9,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,9,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,10,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,10,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,10,Ebmaj7,F#/Gb,54,4,4
output\etude_corpus\upper_structures\abmaj7_over_bb7.tg,10,Ebmaj7,C#/Db,61,2,2
output\etude_corpus\upper_structures\g_minor_pentatonic_over_ebmaj7.tg,1,C,B,59,2,0
