file,track,section_id,measure,absolute_start_tick,absolute_end_tick,meter,tempo,status,intended_chord,intended_lick,text,alignment_status
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 5,1,2882880,14414400,4/4,120,sounding,Cmaj7,from 5,"""5"" arrives at the 5, then jumps down to 7 1 4 3",aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 4,2,14414400,25945920,4/4,120,sounding,Cmaj9,from 4,"""4"" plays the 4, then jumps down to 2 b3 3",aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 4,3,25945920,37477440,4/4,120,sounding,Cmaj9,from 4,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 4,4,37477440,49008960,4/4,120,sounding,Cmaj9,from 4,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 4,5,49008960,60540480,4/4,120,sounding,Cmaj9,from 4,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 4,6,60540480,72072000,4/4,120,sounding,Cmaj9,from 4,idea from all this...,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 4,7,72072000,83603520,4/4,120,sounding,Cmaj9,from 4,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 3,8,83603520,95135040,4/4,120,sounding,Cmaj9,from 3,"""3""",aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,separator,9,95135040,106666560,4/4,120,rest/empty,unresolved/none,none,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 2,10,106666560,118198080,4/4,120,sounding,Cmaj9,from 2,"""2"" walks to 2, jumps down to 5, then back up to the 2",aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,from 2,11,118198080,129729600,4/4,120,sounding,Cmaj9,from 2,"""2"" walks to the 2, jumps down to the 5, then back up to the 2",aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,12,129729600,141261120,4/4,120,sounding,Cmaj9,ALL TOGETHER,ALL TOGETHER | R,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,13,141261120,152792640,4/4,120,sounding,Cmaj9,ALL TOGETHER,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,14,152792640,164324160,4/4,120,sounding,Cmaj9,ALL TOGETHER,R,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,15,164324160,175855680,4/4,120,sounding,Cmaj9,ALL TOGETHER,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,16,175855680,187387200,4/4,120,sounding,Cmaj9,ALL TOGETHER,R,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,17,187387200,198918720,4/4,120,sounding,Cmaj9,ALL TOGETHER,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,18,198918720,210450240,4/4,120,sounding,Cmaj9,ALL TOGETHER,R,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,19,210450240,221981760,4/4,120,sounding,Cmaj9,ALL TOGETHER,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,ALL TOGETHER,20,221981760,233513280,4/4,120,sounding,Cmaj9,ALL TOGETHER,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,9th arp,21,233513280,245044800,4/4,120,sounding,Cmaj9,9th arp,9th arp | I,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,additional upper-position variants,22,245044800,256576320,4/4,120,sounding,Cmaj9,additional upper-position variants,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,additional upper-position variants,23,256576320,268107840,4/4,120,sounding,Cmaj9,additional upper-position variants,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,additional upper-position variants,24,268107840,279639360,4/4,120,sounding,Cmaj9,additional upper-position variants,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,additional upper-position variants,25,279639360,291170880,4/4,120,sounding,Cmaj9,additional upper-position variants,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,additional upper-position variants,26,291170880,302702400,4/4,120,sounding,Cmaj9,additional upper-position variants,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,additional upper-position variants,27,302702400,314233920,4/4,120,sounding,Cmaj9,additional upper-position variants,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,additional upper-position variants,28,314233920,325765440,4/4,120,sounding,Cmaj9,additional upper-position variants,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,separator,29,325765440,337296960,4/4,120,rest/empty,unresolved/none,none,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,low-position instructional material,30,337296960,348828480,4/4,120,sounding,unresolved/none,low-position instructional material,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,low-position instructional material,31,348828480,360360000,4/4,120,sounding,unresolved/none,low-position instructional material,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,separator,32,360360000,371891520,4/4,120,rest/empty,unresolved/none,none,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,upper-register application material,33,371891520,383423040,4/4,120,sounding,Cmaj9,upper-register application material,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,upper-register application material,34,383423040,394954560,4/4,120,sounding,Cmaj9,upper-register application material,,aligned
BH-5432-Harmonic-Atlas.tg,Canonical lick material,upper-register application material,35,394954560,406486080,4/4,120,sounding,Cmaj9,upper-register application material,,aligned
